zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
11742,US,NY,New York,Suffolk,40.8105,-73.0416,KISP,40.79520035,-73.10019684,5.2172816267999425
11743,US,NY,New York,Suffolk,40.8676,-73.4102,KFRG,40.7288017273,-73.41339874270001,15.4360123316631
11746,US,NY,New York,Suffolk,40.8143,-73.3634,KFRG,40.7288017273,-73.41339874270001,10.397595740065501
11747,US,NY,New York,Suffolk,40.7946,-73.403,KFRG,40.7288017273,-73.41339874270001,7.368666681124074
11749,US,NY,New York,Suffolk,40.8067,-73.1709,KISP,40.79520035,-73.10019684,6.087105312646952
11751,US,NY,New York,Suffolk,40.7348,-73.2221,KISP,40.79520035,-73.10019684,12.268178488477469
11752,US,NY,New York,Suffolk,40.7548,-73.1827,KISP,40.79520035,-73.10019684,8.273147652397313
11753,US,NY,New York,Nassau,40.7881,-73.5331,KFRG,40.7288017273,-73.41339874270001,12.046738635644946
11754,US,NY,New York,Suffolk,40.8861,-73.2438,KISP,40.79520035,-73.10019684,15.751045553501918
11755,US,NY,New York,Suffolk,40.8567,-73.1168,KISP,40.79520035,-73.10019684,6.979685991264757
11756,US,NY,New York,Nassau,40.7254,-73.5166,KFRG,40.7288017273,-73.41339874270001,8.704618723377317
11757,US,NY,New York,Suffolk,40.6884,-73.3745,KFRG,40.7288017273,-73.41339874270001,5.561706148351961
11758,US,NY,New York,Nassau,40.6682,-73.4588,KFRG,40.7288017273,-73.41339874270001,7.749716869956305
11760,US,NY,New York,Suffolk,40.7934,-73.4151,KFRG,40.7288017273,-73.41339874270001,7.184429172243365
11762,US,NY,New York,Nassau,40.6807,-73.4444,KFRG,40.7288017273,-73.41339874270001,5.952921732091489
11763,US,NY,New York,Suffolk,40.8174,-72.9852,23N,40.758399963378906,-73.05370330810547,8.73506574811566
11764,US,NY,New York,Suffolk,40.9436,-72.9913,KHWV,40.821899414099995,-72.86940002440001,16.974973777748108
11765,US,NY,New York,Nassau,40.8857,-73.5526,KFRG,40.7288017273,-73.41339874270001,21.015087167287934
11766,US,NY,New York,Suffolk,40.9271,-73.0127,KISP,40.79520035,-73.10019684,16.408867296959524
11767,US,NY,New York,Suffolk,40.8462,-73.1482,KISP,40.79520035,-73.10019684,6.962438034713921
11768,US,NY,New York,Suffolk,40.9051,-73.3309,KFRG,40.7288017273,-73.41339874270001,20.79649066452404
11769,US,NY,New York,Suffolk,40.7382,-73.1297,23N,40.758399963378906,-73.05370330810547,6.784524248571694
11770,US,NY,New York,Suffolk,40.6443,-73.1613,23N,40.758399963378906,-73.05370330810547,15.596109007365946
11771,US,NY,New York,Nassau,40.866,-73.5272,KFRG,40.7288017273,-73.41339874270001,18.014003134526384
11772,US,NY,New York,Suffolk,40.7609,-72.9871,23N,40.758399963378906,-73.05370330810547,5.616557743331558
11773,US,NY,New York,Nassau,40.8262,-73.5021,KFRG,40.7288017273,-73.41339874270001,13.155876195453049
11775,US,NY,New York,Suffolk,40.7934,-73.4151,KFRG,40.7288017273,-73.41339874270001,7.184429172243365
11776,US,NY,New York,Suffolk,40.9136,-73.0464,KISP,40.79520035,-73.10019684,13.92122995418354
11777,US,NY,New York,Suffolk,40.9457,-73.0611,KISP,40.79520035,-73.10019684,17.05463885115619
11778,US,NY,New York,Suffolk,40.9492,-72.9357,K3C8,40.9151000977,-72.7919006348,12.661143706071256
11779,US,NY,New York,Suffolk,40.8083,-73.1305,KISP,40.79520035,-73.10019684,2.9372861116518463
11780,US,NY,New York,Suffolk,40.8813,-73.1591,KISP,40.79520035,-73.10019684,10.7802156522566
11782,US,NY,New York,Suffolk,40.7459,-73.0859,23N,40.758399963378906,-73.05370330810547,3.0475032169317915
11783,US,NY,New York,Nassau,40.6795,-73.491,KFRG,40.7288017273,-73.41339874270001,8.534855791704421
11784,US,NY,New York,Suffolk,40.8699,-73.0448,KISP,40.79520035,-73.10019684,9.524458837491597
11786,US,NY,New York,Suffolk,40.9485,-72.8927,K3C8,40.9151000977,-72.7919006348,9.246456747821297
11787,US,NY,New York,Suffolk,40.8542,-73.2138,KISP,40.79520035,-73.10019684,11.59360586346592
11788,US,NY,New York,Suffolk,40.8231,-73.1958,KISP,40.79520035,-73.10019684,8.623540794198172
11789,US,NY,New York,Suffolk,40.9567,-72.9742,K3C8,40.9151000977,-72.7919006348,15.996795041397988
